sequence1,sequence2,max_length,is_duplicate
4 4 4 2 2 4 3 3 3 3 3 3 4 0 0 -1 4 4 4 4 4 1 1 3 4 0 4 4 0 1 1 3 1 1 1 1 3 3 0 1 0 4 4 0 0 2 2 4 ,-1 -1 -1 -1 -1 3 3 3 2 2 2 3 3 3 3 3 4 1 0 3 2 ,48,0
1 4 4 4 3 3 3 2 3 3 3 3 3 2 4 4 0 0 -1 4 4 4 4 4 4 1 1 3 0 1 1 0 0 4 4 3 1 -1 1 0 0 3 1 3 1 1 1 4 0 0 3 2 3 ,-1 -1 -1 0 3 2 2 2 3 3 2 4 4 3 0 0 2 ,53,0
-1 -1 1 1 4 4 2 4 4 4 3 3 2 3 3 2 4 4 0 0 4 4 4 4 4 4 1 0 0 1 1 1 0 0 0 4 4 0 1 1 0 0 1 1 1 0 4 0 0 4 1 0 0 0 0 3 4 4 ,-1 -1 -1 -1 -1 0 0 3 3 2 2 2 2 3 3 3 4 1 1 0 0 ,58,0
-1 -1 4 4 4 3 2 2 3 3 3 3 3 3 0 -1 4 4 4 4 4 4 4 1 3 4 3 0 0 4 1 3 -1 3 0 0 1 4 3 3 0 0 1 0 1 4 4 3 0 4 ,-1 -1 -1 -1 -1 -1 -1 3 3 2 2 2 2 3 3 3 3 2 1 1 3 0 ,50,0
4 2 4 4 4 3 3 3 3 2 2 4 0 -1 -1 4 4 4 0 0 4 1 1 0 0 1 3 1 -1 0 1 1 3 4 4 0 0 1 1 3 4 1 4 0 0 2 4 ,-1 -1 -1 -1 -1 0 0 3 3 2 2 2 2 2 2 3 3 3 2 2 4 1 0 3 2 ,47,0
-1 4 4 4 2 2 4 4 3 3 3 2 3 3 4 0 0 0 0 -1 4 4 4 0 0 3 1 1 3 0 4 4 4 0 1 3 4 1 1 3 3 4 4 0 0 4 4 0 3 4 ,-1 -1 -1 -1 0 2 2 2 2 2 3 3 3 3 2 2 4 1 3 0 0 2 ,50,0
1 4 4 4 4 4 3 3 3 3 2 4 0 0 -1 4 4 4 4 4 4 4 0 0 0 4 0 3 1 1 -1 0 1 1 4 3 0 0 1 4 0 2 2 4 ,-1 -1 -1 -1 -1 0 2 2 2 2 2 2 2 3 4 0 0 ,44,0
-1 -1 4 4 4 4 4 4 3 3 3 3 4 4 4 4 4 0 0 1 4 3 0 4 0 0 1 1 3 0 3 4 0 0 1 0 4 1 0 3 3 3 4 4 ,-1 -1 -1 -1 2 2 2 2 3 3 4 4 0 0 0 2 ,44,0
4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 4 4 3 0 4 4 1 0 3 1 1 0 0 4 4 1 0 0 0 0 1 1 4 0 0 0 4 0 1 4 1 0 0 0 2 2 3 4 ,-1 -1 -1 -1 -1 0 2 2 2 2 3 3 3 3 0 0 0 2 ,54,0
1 1 4 2 4 4 3 3 3 3 3 3 2 0 0 4 4 4 4 4 1 0 0 4 1 0 0 0 0 4 4 4 1 1 0 0 1 1 -1 -1 0 0 1 3 4 0 0 0 4 0 1 1 1 0 0 2 3 3 ,-1 -1 -1 -1 0 2 2 2 2 2 2 2 3 3 3 2 2 1 1 0 0 2 2 ,58,0
-1 4 4 4 4 2 4 4 3 3 3 3 2 3 0 4 4 4 4 4 3 0 1 4 3 3 1 0 1 3 3 1 0 0 1 1 1 1 0 0 2 3 4 4 ,-1 -1 -1 0 0 2 2 2 2 2 2 2 2 3 2 1 0 0 2 2 ,44,0
-1 4 3 3 3 3 2 4 4 0 3 4 4 0 0 1 1 1 0 4 1 0 0 1 1 -1 -1 3 0 1 1 1 4 3 1 1 0 0 4 1 2 4 4 ,-1 -1 -1 -1 -1 0 0 3 3 2 2 3 3 3 2 4 0 0 3 2 ,43,0
1 4 4 4 4 4 3 3 3 2 3 3 2 3 0 0 4 4 4 4 0 0 4 1 0 4 4 1 1 0 3 1 1 1 3 3 4 0 0 4 3 1 1 1 0 0 3 2 2 ,-1 -1 -1 -1 -1 3 3 3 2 2 2 2 2 2 3 3 3 3 1 1 0 3 ,49,0
1 4 4 4 4 4 2 3 3 2 0 0 -1 4 4 4 0 0 1 1 1 3 0 0 4 4 4 4 1 -1 3 0 0 1 4 4 0 1 0 0 1 1 1 4 0 3 ,-1 -1 -1 -1 2 2 2 2 3 3 2 4 1 0 0 0 2 ,46,0
-1 -1 4 4 4 2 3 2 0 3 -1 -1 4 4 4 4 4 4 0 3 1 1 0 0 4 4 4 1 0 0 1 1 0 3 1 1 3 4 3 0 4 1 1 0 3 4 4 ,-1 -1 -1 -1 -1 0 0 3 3 2 2 2 2 1 1 0 0 0 ,47,0
-1 1 4 4 4 2 4 3 3 3 3 2 4 0 0 0 -1 4 4 4 4 1 3 4 4 0 1 4 0 4 4 4 0 0 1 0 1 1 1 1 0 2 3 ,-1 -1 0 0 2 2 2 2 3 3 4 4 1 3 0 ,43,0
-1 -1 4 4 2 2 4 4 4 4 3 3 3 3 3 3 2 0 0 3 -1 4 4 4 4 4 1 0 3 1 0 0 4 0 4 0 0 1 4 3 3 0 0 1 1 0 0 1 1 0 0 0 3 ,-1 -1 -1 -1 -1 0 2 2 2 2 2 2 2 3 3 3 3 3 2 1 1 0 0 ,53,0
1 1 4 4 2 4 4 3 3 2 3 3 3 3 4 4 0 0 -1 -1 4 4 1 1 3 4 1 1 0 0 0 4 4 4 1 0 1 1 -1 0 0 3 4 4 3 4 4 0 1 1 1 1 0 0 2 2 ,-1 -1 0 0 2 2 2 3 3 2 2 4 4 1 1 0 2 2 ,56,0
1 4 4 4 4 4 2 2 3 3 2 3 3 2 0 0 0 4 4 4 1 1 3 3 1 1 0 4 4 4 4 1 0 0 0 1 3 0 0 0 0 1 0 1 1 1 0 0 3 4 4 ,-1 -1 -1 -1 -1 0 0 2 2 3 3 3 2 4 0 3 2 ,51,0
1 4 4 4 4 4 4 4 2 3 3 3 4 4 -1 4 4 4 1 0 0 1 1 0 0 0 0 4 4 1 1 -1 -1 0 0 0 1 3 4 0 0 0 1 4 4 4 0 0 3 3 3 4 4 ,-1 -1 -1 -1 -1 -1 0 3 2 2 2 2 3 2 4 0 0 0 2 ,53,0
1 4 4 4 2 4 4 3 3 3 3 2 2 0 0 -1 4 4 4 4 1 3 0 1 1 4 0 4 4 4 4 0 1 -1 0 0 1 3 4 4 0 0 1 1 0 4 1 0 0 2 2 4 ,-1 -1 -1 -1 0 3 2 2 2 2 2 2 2 2 3 3 2 4 0 3 2 ,52,0
4 4 4 4 4 4 3 3 2 3 2 2 0 0 0 -1 -1 4 4 4 4 1 3 0 4 1 4 4 1 1 -1 -1 0 0 0 1 1 4 3 1 1 0 0 1 1 1 1 1 3 0 0 4 ,-1 -1 -1 -1 -1 -1 2 2 2 2 2 2 2 3 3 3 4 4 4 3 0 0 2 2 ,52,0
4 4 2 3 2 3 3 3 0 0 3 -1 4 4 4 1 0 0 3 4 1 1 0 0 3 4 4 4 1 1 0 0 4 0 0 1 1 1 0 0 1 1 4 1 1 0 0 2 3 4 ,-1 -1 -1 -1 0 0 3 2 2 2 2 3 3 3 3 2 2 4 4 0 0 ,50,0
-1 1 4 4 4 2 2 2 3 3 3 4 4 -1 -1 4 4 4 4 4 4 4 1 0 3 4 0 4 4 1 1 0 4 0 1 1 1 3 0 1 1 4 4 3 2 2 3 4 4 ,-1 -1 -1 3 2 2 2 2 4 4 4 0 2 ,49,0
-1 4 2 4 4 4 3 3 3 3 3 3 2 4 4 4 4 4 1 3 0 1 1 0 4 4 1 0 0 4 -1 0 0 0 4 1 1 4 0 1 0 4 0 0 0 ,-1 -1 -1 0 3 3 2 2 2 2 2 2 3 3 3 3 4 4 0 0 3 ,45,0
4 4 4 2 4 3 3 3 3 3 3 4 0 0 0 4 4 1 0 1 1 0 0 0 4 4 1 0 1 -1 0 0 3 1 3 3 4 3 0 1 3 4 4 3 0 2 4 ,-1 -1 -1 3 2 2 2 2 2 3 2 4 1 0 0 ,47,0
1 4 4 4 4 4 3 3 2 2 3 2 0 -1 4 4 4 4 4 1 1 0 0 3 4 1 0 4 4 1 1 4 -1 0 0 0 4 1 4 4 0 0 1 1 0 0 1 1 1 4 0 0 2 2 3 4 ,-1 -1 -1 -1 -1 -1 -1 0 3 2 2 2 2 2 2 3 3 3 3 3 4 0 0 2 ,56,0
1 4 4 3 3 2 4 4 0 0 4 4 4 4 4 3 0 1 1 1 1 0 3 4 1 4 -1 0 0 0 1 4 0 0 4 3 1 1 1 0 3 4 ,-1 2 2 2 2 2 2 3 3 2 4 4 4 0 2 2 ,42,0
4 4 4 4 4 2 4 4 4 3 3 3 3 2 4 0 3 -1 -1 4 4 4 4 4 1 3 0 0 1 1 1 0 0 4 4 1 0 0 4 3 1 3 3 4 3 0 1 1 1 4 0 0 2 ,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 3 3 2 2 2 2 2 2 2 3 3 3 3 4 4 1 0 0 0 0 2 ,53,0
-1 -1 1 4 4 4 4 4 4 4 3 3 2 3 3 3 3 4 4 0 0 0 0 4 4 4 4 4 1 3 0 1 1 3 0 4 1 0 1 1 -1 0 0 1 1 1 4 4 3 0 1 0 3 2 3 4 ,-1 -1 -1 -1 -1 3 2 2 2 3 3 3 2 4 1 3 0 ,56,0
-1 -1 1 4 4 4 4 4 3 3 2 3 3 3 3 3 2 4 0 0 3 -1 -1 4 4 4 4 4 4 1 1 0 3 1 0 3 4 4 1 1 0 0 4 -1 0 0 1 3 0 0 1 0 1 1 1 1 0 0 3 4 ,-1 -1 -1 -1 0 3 3 2 2 2 2 2 3 3 3 4 4 0 0 0 2 ,60,0
-1 -1 1 4 4 4 2 2 4 4 3 3 2 3 3 3 0 0 0 -1 4 4 4 4 4 4 4 4 3 1 1 1 0 4 4 1 0 3 4 4 3 0 0 0 1 1 3 0 0 2 3 ,-1 -1 -1 -1 0 3 2 2 2 2 2 4 4 0 0 0 0 2 2 ,51,0
-1 1 4 4 4 4 4 2 4 4 3 2 3 3 3 4 4 0 0 3 4 4 4 4 4 4 4 1 1 0 0 0 4 4 3 3 4 4 0 1 1 0 0 1 1 4 3 4 4 0 0 0 1 1 1 1 0 0 0 2 2 3 3 ,-1 -1 3 2 2 2 2 2 2 3 3 3 2 1 0 3 2 2 ,63,0
-1 -1 1 4 4 4 2 4 4 4 3 3 3 3 4 4 0 0 0 1 3 3 4 4 0 0 4 4 0 1 1 1 1 4 0 0 0 1 3 4 1 4 0 0 0 2 2 3 4 4 ,-1 -1 2 2 2 2 2 2 2 3 1 1 0 0 2 2 ,50,0
-1 1 1 4 4 4 4 4 3 2 3 3 3 2 2 0 0 0 4 4 4 4 0 0 1 1 1 0 3 4 4 4 4 0 1 -1 -1 0 0 1 1 1 3 4 4 3 0 4 1 3 2 2 3 4 ,-1 -1 -1 3 2 2 2 3 3 3 2 4 4 3 0 ,54,0
-1 -1 1 4 4 4 4 4 4 4 4 3 3 3 3 3 2 0 -1 4 4 4 4 4 0 0 1 4 0 0 0 4 4 3 1 0 1 3 0 3 1 1 1 1 0 0 0 2 4 ,-1 -1 -1 -1 -1 -1 -1 3 2 2 2 2 2 2 2 3 1 0 0 ,49,0
-1 1 1 4 4 2 2 4 3 2 3 3 2 3 0 -1 4 4 4 4 1 0 0 0 1 1 4 4 4 1 3 1 -1 -1 0 3 4 1 1 3 3 4 3 0 4 1 1 0 0 0 2 2 4 ,-1 -1 -1 -1 0 2 2 2 2 3 3 1 2 ,53,0
-1 4 4 4 3 3 2 2 4 0 0 3 4 4 4 3 0 1 0 0 0 4 4 4 0 0 4 3 0 4 1 3 0 0 0 0 1 1 0 0 4 4 ,-1 -1 -1 -1 -1 0 3 3 2 2 2 3 3 4 4 4 0 0 0 ,42,0
4 2 4 4 4 3 3 3 3 3 3 4 0 3 -1 -1 4 4 4 4 4 1 0 4 4 0 0 4 4 4 3 1 3 0 0 4 1 1 4 0 1 1 3 1 1 0 2 2 4 4 ,-1 -1 -1 -1 -1 -1 -1 0 0 3 2 2 2 2 2 3 3 3 1 0 0 0 ,50,0
-1 1 4 4 3 2 3 3 3 4 0 -1 -1 4 4 4 4 4 4 4 1 1 1 0 0 0 0 3 1 -1 0 1 4 3 1 1 0 4 4 0 0 2 3 ,-1 -1 -1 -1 0 2 2 2 3 3 3 3 2 2 4 4 1 1 3 2 2 ,43,0
1 1 4 4 4 3 3 3 3 3 2 3 -1 -1 4 4 4 4 1 1 0 0 1 1 0 0 0 0 4 1 0 0 0 1 1 1 3 4 3 3 1 1 3 4 1 1 3 3 ,-1 -1 -1 -1 -1 0 3 2 2 2 2 2 3 3 3 2 1 1 3 2 ,48,0
-1 1 4 4 4 4 4 3 2 3 3 3 3 4 0 0 4 4 4 4 1 1 0 0 3 4 1 1 0 0 1 -1 0 0 1 3 3 4 4 0 0 1 1 3 1 1 1 1 3 3 ,-1 -1 -1 0 2 2 2 2 3 0 0 2 ,50,0
1 1 4 4 4 4 4 3 3 3 2 3 3 3 2 2 0 0 4 4 1 3 1 1 1 0 0 4 1 0 0 1 -1 0 0 4 3 3 4 0 4 0 1 1 1 4 0 0 0 2 3 ,-1 -1 -1 -1 -1 3 3 2 2 2 3 2 4 4 1 0 0 2 ,51,0
-1 1 4 4 2 4 4 4 4 4 2 2 3 2 2 -1 -1 4 4 4 4 4 4 4 3 1 1 0 0 4 4 3 1 -1 -1 3 1 1 1 3 3 4 0 0 0 4 0 4 1 1 1 1 0 0 0 4 ,-1 -1 -1 -1 -1 -1 -1 -1 3 2 2 2 2 2 2 3 3 4 4 0 0 ,56,0
-1 1 1 4 2 2 4 4 3 3 3 3 3 3 3 2 4 0 0 0 -1 4 4 4 4 0 1 0 3 4 4 4 1 0 0 -1 0 0 1 3 0 0 0 0 1 1 1 1 2 3 4 ,-1 -1 -1 0 0 3 2 2 2 2 2 3 2 1 3 ,51,0
1 4 4 4 4 3 2 3 0 0 4 4 4 1 0 3 4 4 0 0 1 -1 1 1 4 4 3 0 0 4 3 1 1 1 0 3 ,-1 -1 -1 -1 -1 2 2 2 2 3 2 2 1 1 3 0 ,36,0
1 1 4 4 4 2 2 4 4 4 3 3 2 2 3 3 3 3 4 3 3 -1 4 4 4 4 1 0 1 1 1 0 0 4 4 4 4 0 4 -1 -1 0 3 4 3 4 4 0 0 0 1 3 4 1 1 1 0 2 2 4 4 ,-1 -1 -1 -1 -1 -1 -1 0 3 2 2 2 2 2 2 3 3 3 0 0 0 2 ,61,0
1 1 4 4 4 4 3 2 3 3 3 3 2 2 4 0 -1 -1 4 4 4 4 1 0 0 1 1 0 4 1 0 1 1 3 0 4 3 4 3 0 4 1 1 0 0 3 2 3 3 4 ,-1 -1 -1 -1 -1 2 2 2 2 2 2 3 3 3 3 1 1 0 ,50,0
-1 1 1 4 4 4 4 2 4 4 3 3 3 3 2 3 3 3 3 3 2 4 0 0 -1 4 4 4 4 4 4 1 0 0 0 1 1 0 0 4 0 0 1 1 4 4 0 1 1 4 3 ,-1 -1 -1 0 3 2 2 2 2 2 2 3 3 4 1 1 0 2 ,51,0
1 4 4 4 2 2 4 4 3 3 3 2 2 3 3 3 3 0 0 0 0 -1 4 4 1 0 0 1 1 4 4 4 0 1 -1 0 0 4 1 3 4 3 0 1 0 0 4 1 1 0 3 2 2 3 3 4 4 ,-1 -1 -1 -1 -1 -1 3 3 2 2 2 3 3 3 3 3 3 4 4 1 0 0 0 2 ,57,0
1 4 4 4 4 2 4 4 3 3 2 3 3 3 2 2 4 4 0 0 0 4 4 4 4 4 4 4 0 1 1 1 1 3 0 0 4 4 4 1 3 0 3 1 1 3 4 4 3 0 0 1 1 1 4 0 0 0 3 ,0 0 2 1 3 3 2 ,59,0
-1 -1 1 2 4 4 4 4 3 3 3 3 4 0 0 0 0 4 4 4 4 4 4 4 4 1 1 0 3 1 1 0 4 4 0 0 1 1 0 0 1 1 1 0 4 1 1 1 0 3 3 4 4 ,-1 -1 -1 -1 0 0 2 2 2 3 3 3 4 1 1 0 ,53,0
1 1 4 4 4 3 3 3 2 3 3 3 4 0 0 0 -1 1 0 0 1 1 0 0 0 4 1 1 1 -1 0 0 1 1 3 0 3 3 4 1 3 2 2 3 ,-1 -1 -1 -1 3 2 2 2 3 3 1 0 0 0 ,44,0
4 4 4 2 4 4 4 3 3 3 3 3 3 3 4 0 3 4 4 4 1 0 0 0 4 1 0 3 4 4 1 0 1 -1 -1 0 0 0 1 1 1 3 4 4 0 1 0 0 1 1 1 1 3 3 ,-1 -1 -1 3 3 3 2 2 2 2 2 2 3 3 3 2 2 4 1 0 3 ,54,0
-1 1 4 4 2 2 2 3 3 3 3 3 4 4 0 3 -1 4 4 4 4 0 0 3 1 1 0 3 4 4 4 3 1 -1 0 1 4 3 4 4 3 1 4 3 2 3 4 ,-1 -1 -1 -1 3 2 2 2 2 2 2 3 3 2 2 4 4 3 0 0 ,47,0
-1 1 1 4 4 2 4 4 4 4 2 2 3 3 3 3 4 4 4 4 4 1 1 3 0 0 1 0 0 0 4 4 4 4 0 0 0 1 1 1 3 3 0 1 0 1 4 1 0 0 3 3 4 ,-1 -1 -1 -1 -1 -1 0 2 2 2 2 2 2 2 2 2 3 3 3 3 3 2 1 0 2 ,53,0
1 4 2 2 4 3 3 3 3 3 3 -1 4 4 4 4 1 0 4 4 4 -1 -1 0 3 1 3 4 4 0 1 1 1 1 0 0 3 2 2 3 4 ,-1 -1 -1 0 3 2 2 2 2 3 3 3 2 4 0 0 0 0 2 ,41,0
-1 1 1 4 4 2 4 4 4 3 3 3 3 3 3 0 0 0 -1 4 4 0 0 0 1 1 1 0 0 0 4 0 1 1 -1 0 0 0 1 3 3 4 4 0 0 1 1 0 1 1 1 1 0 0 ,-1 -1 -1 -1 -1 3 3 2 2 2 2 2 2 2 2 2 3 2 2 4 1 0 0 2 ,54,0
-1 1 1 4 4 4 4 2 2 4 4 3 3 2 3 3 3 4 4 4 4 1 1 0 0 0 1 1 0 0 1 1 1 -1 3 1 4 0 1 1 0 1 1 4 1 3 0 0 2 2 3 3 4 ,-1 -1 -1 -1 -1 -1 -1 3 3 2 2 2 2 3 3 3 1 3 3 ,53,0
-1 1 1 4 4 4 4 4 2 2 3 2 3 3 3 2 2 0 0 4 4 4 0 0 4 1 0 0 4 4 1 1 0 1 1 0 0 4 1 1 3 3 1 0 0 1 1 1 1 4 3 0 ,-1 -1 0 2 2 2 2 2 2 3 4 1 1 0 0 0 ,52,0
1 1 4 4 4 2 4 4 4 3 3 2 3 4 0 0 0 0 4 1 0 0 0 1 0 0 0 4 4 4 4 0 1 0 0 0 1 1 1 3 0 0 0 3 4 1 0 0 3 ,-1 0 0 2 2 2 2 2 4 4 1 0 ,49,0
-1 -1 4 4 4 4 4 4 4 3 3 2 3 3 3 0 0 4 4 4 4 4 0 0 0 1 1 0 0 4 1 1 0 0 1 1 -1 0 0 3 4 1 4 4 0 0 0 0 1 1 0 1 1 0 2 ,-1 -1 -1 -1 -1 -1 3 2 2 2 3 3 3 4 3 2 ,55,0
4 4 4 3 3 3 3 2 4 0 0 3 4 4 1 1 0 0 0 1 1 4 0 4 4 4 1 1 0 0 -1 3 3 4 1 4 0 0 1 0 4 1 1 3 0 0 2 3 ,-1 -1 -1 -1 -1 0 3 2 2 2 2 2 3 3 3 3 4 1 1 0 0 3 2 2 ,48,0
-1 1 4 2 4 3 3 3 3 3 3 2 2 0 -1 4 4 1 0 0 0 1 1 1 1 0 3 4 1 0 4 0 4 1 0 0 0 0 1 0 1 1 1 2 4 4 ,-1 -1 -1 -1 -1 0 2 2 2 2 3 2 4 4 0 0 2 ,46,0
4 4 2 4 3 3 3 2 2 3 3 2 2 0 0 0 4 4 4 4 4 0 0 4 3 4 4 4 3 1 1 0 0 1 4 3 4 0 3 1 1 1 4 0 0 0 0 3 4 4 ,-1 -1 -1 3 3 3 2 2 2 2 3 3 2 2 1 1 3 0 ,50,0
-1 1 1 4 2 2 3 3 3 3 3 3 3 2 4 4 3 0 0 4 4 4 4 4 1 0 0 1 4 3 0 0 4 4 4 4 1 1 4 0 0 0 4 3 0 0 4 1 1 4 0 0 2 3 4 ,-1 -1 -1 -1 -1 -1 3 2 2 2 2 2 1 0 0 3 2 ,55,0
-1 -1 4 4 4 4 3 2 3 2 2 0 0 4 4 4 4 4 4 1 0 0 1 1 0 3 4 1 0 0 1 1 -1 0 0 1 4 3 4 4 3 0 0 1 1 0 4 1 1 1 0 0 0 0 2 4 ,-1 -1 -1 -1 0 3 3 2 2 3 1 3 0 0 2 2 ,56,0
4 4 4 2 2 4 4 3 3 2 3 3 4 4 -1 4 4 4 4 1 3 0 1 0 0 0 4 4 4 1 1 -1 -1 0 0 0 1 1 3 4 0 0 4 3 4 1 1 3 0 0 2 3 ,-1 -1 -1 0 0 3 3 2 2 3 3 3 4 0 0 0 0 2 ,52,0
-1 1 1 4 2 2 4 4 4 3 2 3 3 3 3 3 0 3 -1 4 4 4 4 4 0 3 1 1 1 0 4 4 4 1 0 0 0 0 3 1 1 4 3 4 4 1 1 3 0 2 3 3 4 ,-1 0 3 3 2 2 2 2 2 3 3 3 2 4 1 3 3 2 ,53,0
-1 1 1 4 4 4 2 4 4 3 3 2 2 3 3 3 3 4 3 0 -1 4 4 4 4 4 0 0 1 4 0 0 4 1 0 1 1 3 1 3 3 0 1 3 4 4 4 0 0 2 3 ,-1 -1 -1 -1 -1 0 3 3 2 2 2 2 2 3 3 3 4 3 2 ,51,0
4 4 4 4 4 3 3 2 3 3 3 3 3 2 2 3 0 4 4 4 4 4 0 1 1 1 0 0 0 0 4 1 1 0 0 1 -1 -1 0 1 1 0 0 1 3 1 1 0 0 2 3 4 ,-1 -1 -1 -1 -1 2 2 2 2 2 2 2 3 3 3 3 4 3 3 2 ,52,0
-1 -1 4 2 4 4 4 4 3 3 3 3 2 4 4 0 0 0 4 4 4 4 4 3 4 4 0 0 4 4 4 1 1 1 -1 -1 0 4 1 1 4 0 0 4 0 1 1 1 1 1 3 3 3 ,-1 -1 -1 -1 -1 -1 -1 -1 0 3 3 2 2 2 2 2 3 3 4 1 1 0 0 ,53,0
-1 1 4 4 4 2 2 4 4 3 3 3 4 4 3 0 -1 4 4 4 4 4 1 0 1 1 1 0 3 4 1 0 4 0 0 0 4 3 4 3 0 1 1 3 4 1 1 1 3 3 ,-1 -1 -1 -1 -1 3 2 2 2 3 3 4 1 3 0 0 ,50,0
-1 1 4 4 4 4 3 2 3 3 4 4 0 0 0 0 -1 4 4 4 4 4 0 3 0 0 0 4 4 4 1 0 1 1 -1 0 1 1 1 3 1 1 1 1 1 1 0 0 2 2 3 4 4 ,-1 -1 -1 -1 -1 -1 -1 3 3 2 2 2 2 4 4 1 1 3 0 2 ,53,0
-1 4 4 2 4 4 3 2 3 4 0 3 -1 4 4 4 4 4 1 0 0 0 0 1 4 3 0 0 4 0 1 0 0 1 1 3 4 3 1 0 1 1 0 3 4 ,-1 -1 -1 -1 0 0 2 2 2 2 2 2 2 3 3 3 2 4 0 2 ,45,0
-1 -1 1 1 4 4 4 4 4 4 4 3 3 2 2 3 3 3 3 3 2 4 4 4 4 4 4 1 0 1 1 1 0 0 4 4 4 1 0 0 1 0 0 0 1 1 1 1 3 4 4 0 0 4 1 1 1 1 3 0 4 ,-1 -1 -1 -1 -1 -1 0 2 2 2 2 2 3 3 2 4 1 1 0 2 ,61,0
-1 4 4 4 4 2 3 3 2 3 2 3 0 -1 4 4 4 4 0 0 0 0 1 0 0 4 4 1 3 1 1 -1 -1 0 0 0 4 3 4 4 3 0 1 0 1 1 1 1 1 1 3 2 3 4 ,-1 3 2 2 2 2 2 2 3 4 1 0 2 ,54,0
-1 -1 1 4 4 4 2 2 4 3 3 3 3 3 2 3 0 4 1 0 0 0 4 4 4 1 0 4 -1 0 0 4 1 3 3 4 0 0 3 1 3 1 1 0 3 3 ,-1 -1 -1 -1 3 2 2 2 2 2 2 2 2 4 4 0 2 ,46,0
-1 -1 4 4 4 4 3 3 3 2 3 0 0 4 4 4 0 0 1 0 0 4 4 1 1 3 1 -1 0 0 1 1 4 4 4 0 3 1 0 1 1 1 1 1 1 0 4 ,-1 -1 -1 -1 -1 -1 0 0 3 2 2 2 2 2 2 2 3 3 3 4 3 0 ,47,0
-1 -1 1 4 4 4 4 4 2 4 4 4 3 3 3 4 0 -1 4 4 0 0 4 1 3 0 4 1 0 0 0 1 1 1 3 4 4 1 1 1 1 1 0 0 2 2 ,-1 -1 -1 -1 -1 0 2 2 2 2 2 3 3 3 3 2 2 4 4 1 3 0 ,46,0
1 1 4 4 4 3 3 3 3 2 4 4 0 3 4 4 4 4 4 4 0 0 0 1 1 4 0 0 0 4 0 0 1 -1 3 0 1 1 3 4 0 0 1 1 3 4 4 1 1 3 3 3 3 ,-1 -1 -1 -1 -1 -1 -1 2 2 2 2 3 3 3 3 3 2 2 4 1 1 0 0 0 0 2 ,53,0
1 4 4 4 4 2 2 4 4 3 2 3 3 3 2 4 0 -1 4 4 4 1 3 0 4 0 0 4 4 1 1 0 4 -1 0 0 3 4 4 0 3 4 3 0 2 2 3 3 4 4 ,-1 -1 -1 -1 0 3 2 2 2 2 2 2 3 2 4 1 1 0 3 ,50,0
-1 -1 4 4 4 4 3 2 3 3 3 4 0 0 -1 4 4 4 4 4 1 0 0 0 1 1 0 0 1 1 1 -1 0 0 0 1 1 4 4 0 0 1 1 1 1 1 4 0 0 2 2 3 3 ,-1 -1 -1 -1 0 2 2 2 2 2 2 3 4 1 1 0 0 0 2 ,53,0
-1 -1 1 1 4 4 4 3 3 3 3 2 2 4 4 0 3 4 4 4 3 4 3 0 0 4 4 1 -1 0 4 3 3 0 1 0 4 1 1 1 0 2 3 4 4 ,-1 -1 -1 2 2 2 2 2 2 2 3 3 4 4 0 0 2 2 ,45,0
-1 4 4 4 2 4 4 4 2 2 3 3 3 3 3 2 4 4 0 3 -1 4 4 4 4 4 0 0 3 4 0 0 4 0 4 -1 4 1 4 4 0 0 4 0 1 1 1 0 0 0 2 3 ,-1 -1 -1 0 3 2 2 2 2 3 3 3 4 1 3 3 ,52,0
1 1 4 4 4 4 4 2 2 3 3 3 3 3 3 2 4 4 3 0 -1 4 4 4 4 4 4 3 4 4 0 0 0 4 4 4 1 1 1 0 0 4 4 4 0 0 1 1 1 1 1 0 0 0 3 ,-1 -1 -1 -1 -1 -1 0 0 3 2 2 3 2 1 0 0 ,55,0
-1 -1 1 4 4 4 4 3 3 3 2 3 3 3 0 4 4 1 1 0 0 1 1 0 0 0 0 4 4 4 0 4 -1 -1 0 0 1 1 1 3 0 0 0 0 1 1 0 0 0 3 4 ,-1 -1 -1 -1 0 3 2 2 2 2 3 3 3 3 2 4 4 1 0 0 2 ,51,0
-1 1 4 4 4 2 2 4 4 4 3 3 3 2 2 3 3 -1 -1 4 4 4 0 4 3 0 0 4 1 0 3 3 1 3 0 0 1 1 1 1 0 4 4 ,-1 -1 -1 -1 -1 -1 -1 -1 0 0 3 2 2 3 3 2 4 1 0 2 ,43,0
4 4 2 2 4 4 3 3 3 3 2 2 0 -1 -1 4 4 4 4 4 4 4 0 0 0 0 1 1 0 4 4 0 1 -1 -1 0 0 4 3 3 0 1 0 0 1 4 4 0 0 2 3 3 4 ,-1 -1 -1 -1 -1 -1 0 2 2 2 2 3 3 4 1 0 0 0 2 ,53,0
-1 -1 1 1 4 4 4 4 4 4 4 4 3 2 2 3 3 3 3 4 0 0 0 -1 4 4 4 4 4 4 1 0 0 0 1 3 0 4 4 4 4 0 1 -1 1 1 1 3 4 3 1 1 1 1 1 0 0 0 0 2 2 3 4 ,-1 -1 -1 -1 -1 -1 3 2 2 2 2 3 3 3 2 4 3 3 2 ,63,0
